ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Usages,Type,Condition,Examples
ude-P_Marking_Type,ude,P_Marking_Type,differential,,,,,,,
ude-P_Marking_Contrast,ude,P_Marking_Contrast,zero_nonzero,,,,,,,
ude-P_Local_or_Global,ude,P_Local_or_Global,local,,,,,,,
ude-P_Split_or_Fluid,ude,P_Split_or_Fluid,split-fluid,,,,,,,
ude-P_TAM_DM,ude,P_TAM_DM,yes,,,,,,,
ude-P_WO_DM,ude,P_WO_DM,no,,,,,,,
ude-P_Other_DM,ude,P_Other_DM,yes,,,,,,,
ude-P_Animacy_Scale,ude,P_Animacy_Scale,none,,,,,,,
ude-P_Pronom_Scale,ude,P_Pronom_Scale,none,,,,,,,
ude-P_Def_Scale,ude,P_Def_Scale,fit,,,,,,,
ude-P_Person_Scale,ude,P_Person_Scale,none,,,,,,,
dzg-A_Marking_Type,dzg,A_Marking_Type,differential,,,,,,,
dzg-A_Marking_Contrast,dzg,A_Marking_Contrast,zero_nonzero,,,,,,,
dzg-A_Local_or_Global,dzg,A_Local_or_Global,local,,,,,,,
dzg-A_Split_or_Fluid,dzg,A_Split_or_Fluid,split-fluid,,,,,,,
dzg-A_TAM_DM,dzg,A_TAM_DM,no,,,,,,,
dzg-A_WO_DM,dzg,A_WO_DM,yes,,,,,,,
dzg-A_Other_DM,dzg,A_Other_DM,no,,,,,,,
dzg-A_Animacy_Scale,dzg,A_Animacy_Scale,fit,,,,,,,
dzg-A_Pronom_Scale,dzg,A_Pronom_Scale,none,,,,,,,
dzg-A_Def_Scale,dzg,A_Def_Scale,none,,,,,,,
dzg-A_Person_Scale,dzg,A_Person_Scale,none,,,,,,,
dzg-P_Marking_Type,dzg,P_Marking_Type,differential,,,,,,,
dzg-P_Marking_Contrast,dzg,P_Marking_Contrast,zero_nonzero,,,,,,,
dzg-P_Local_or_Global,dzg,P_Local_or_Global,local,,,,,,,
dzg-P_Split_or_Fluid,dzg,P_Split_or_Fluid,split,,,,,,,
dzg-P_TAM_DM,dzg,P_TAM_DM,no,,,,,,,
dzg-P_WO_DM,dzg,P_WO_DM,no,,,,,,,
dzg-P_Other_DM,dzg,P_Other_DM,no,,,,,,,
dzg-P_Animacy_Scale,dzg,P_Animacy_Scale,none,,,,,,,
dzg-P_Pronom_Scale,dzg,P_Pronom_Scale,fit,,,,,,,
dzg-P_Def_Scale,dzg,P_Def_Scale,none,,,,,,,
dzg-P_Person_Scale,dzg,P_Person_Scale,none,,,,,,,
yuk-A_Marking_Type,yuk,A_Marking_Type,none,,,,,,,
yuk-A_Marking_Contrast,yuk,A_Marking_Contrast,?,,,,,,,
yuk-A_Local_or_Global,yuk,A_Local_or_Global,?,,,,,,,
yuk-A_Split_or_Fluid,yuk,A_Split_or_Fluid,?,,,,,,,
yuk-A_TAM_DM,yuk,A_TAM_DM,?,,,,,,,
yuk-A_WO_DM,yuk,A_WO_DM,?,,,,,,,
yuk-A_Other_DM,yuk,A_Other_DM,?,,,,,,,
yuk-A_Animacy_Scale,yuk,A_Animacy_Scale,?,,,,,,,
yuk-A_Pronom_Scale,yuk,A_Pronom_Scale,?,,,,,,,
yuk-A_Def_Scale,yuk,A_Def_Scale,?,,,,,,,
yuk-A_Person_Scale,yuk,A_Person_Scale,?,,,,,,,
yuk-P_Marking_Type,yuk,P_Marking_Type,differential,,,,,,,
yuk-P_Marking_Contrast,yuk,P_Marking_Contrast,zero_nonzero,,,,,,,
yuk-P_Local_or_Global,yuk,P_Local_or_Global,local,,,,,,,
